nome,cpf,idade,data,endereco,estado
MAYSA PIRES,852.607.149-11,68,1955-10-08,"SÍTIO MARIANA ALMEIDA, 86
CARLOS PRATES
09579-357 CAVALCANTI / PR",BAHIA
LETÍCIA DA MATA,308.742.169-31,47,1976-08-04,"AEROPORTO DA PAZ, 54
VILA SÃO DIMAS
26750-505 COSTA / PR",RIO DE JANEIRO
LUIGI CUNHA,623.457.109-34,92,1932-01-24,"PRAIA NASCIMENTO, 541
SENHOR DOS PASSOS
52251-024 CAVALCANTI DO CAMPO / PA",Desconhecido
LUCAS GABRIEL GOMES,120.476.398-40,20,2004-02-23,"DISTRITO DE CARDOSO, 24
FLAMENGO
42222117 JESUS DA PRATA / PI",PERNAMBUCO
EMANUELLY COSTELA,152.490.783-97,46,1977-10-21,"VALE DE VIEIRA, 67
SUZANA
02233962 ALVES / PA",RORAIMA
CALEBE NASCIMENTO,631.974.802-87,85,1939-02-25,"TRECHO BRENDA FERREIRA, 25
LAGOINHA
22650-581 DA LUZ / RJ",BAHIA
JUAN PIRES,139.648.572-46,76,1948-03-12,"AVENIDA DE SANTOS, 89
SÃO PEDRO
54483394 MORAES DA MATA / MS",GOIÁS
LÍVIA COSTA,582.793.041-50,81,1942-10-18,"LOTEAMENTO OLIVEIRA, 12
VILA DA ÁRIA
56184582 PIRES / AM",RIO GRANDE DO NORTE
DAVI LUCAS NUNES,679.802.341-03,21,2003-01-07,"VILA VIANA, 68
NOVA CINTRA
01930898 PORTO / AM",PIAUÍ
DR. LUCCA OLIVEIRA,806.759.431-75,89,1934-06-24,"PASSARELA JESUS, 34
VILA JARDIM MONTANHES
90668-539 AZEVEDO / PB",RIO DE JANEIRO
EDUARDO MONTEIRO,037.529.468-65,61,1962-11-09,"VIADUTO CALDEIRA
VILA NOVA PARAÍSO
26625-312 OLIVEIRA DO GALHO / PE",CEARÁ
DIOGO MORAES,571.463.209-52,47,1977-01-12,"SÍTIO ARAGÃO, 73
AGUAS CLARAS
39221-650 BARROS / RJ",MARANHÃO
FELIPE FREITAS,657.014.938-57,18,2005-12-08,"ÁREA GABRIELA NASCIMENTO
ERMELINDA
91481282 SILVEIRA / RR",GOIÁS
RYAN PEIXOTO,830.126.594-98,27,1996-08-25,"ESTRADA AGATHA CORREIA, 79
XODO-MARIZE
53021-431 AZEVEDO ALEGRE / TO",PARÁ
OTÁVIO PIRES,526.170.894-01,25,1998-07-16,"PÁTIO RIBEIRO, 33
VILA OESTE
74852-896 BARROS DA MATA / MS",RONDÔNIA
THIAGO MOREIRA,023.671.984-03,61,1963-01-11,"RESIDENCIAL REBECA DA PAZ, 43
SANTA INÊS
11614338 LIMA DO SUL / SC",RIO GRANDE DO SUL
PIETRO LOPES,428.657.913-19,61,1962-04-24,"AEROPORTO MOURA, 81
SALGADO FILHO
80405-323 MOURA DO GALHO / SP",PARAÍBA
GABRIELA GOMES,317.820.469-50,42,1981-04-13,"PARQUE MARIANE ARAÚJO, 1
FLAMENGO
01839098 ARAGÃO / RO",PIAUÍ
JOÃO MIGUEL VIANA,183.527.069-77,23,2000-05-27,"ESTRADA DE CARVALHO, 309
FUNCIONÁRIOS
12346-410 DA LUZ / DF",Desconhecido
SR. LUIZ HENRIQUE NUNES,031.879.256-77,76,1948-03-17,"VIA DA CUNHA, 11
SPORT CLUB
89823119 COSTELA DA MATA / TO",TOCANTINS
SRTA. ANA SOPHIA VIANA,937.802.651-68,29,1995-02-18,"RODOVIA AGATHA CAVALCANTI, 27
SANTO ANTÔNIO
57644125 RIBEIRO / AP",PARÁ
SR. MARCELO ARAGÃO,418.379.602-40,85,1938-04-06,"PRAÇA RAUL PIRES
MARIA VIRGÍNIA
04343-264 CUNHA / TO",PIAUÍ
ENZO GABRIEL DA MOTA,018.326.459-24,30,1993-09-22,"VILA FARIAS
BRAÚNAS
89867214 NOGUEIRA DO SUL / SE",MINAS GERAIS
BENJAMIN DA ROSA,195.728.306-86,99,1924-07-29,"NÚCLEO MARIA LUIZA NOVAES, 100
XANGRI-LÁ
43844226 MOURA DA PRATA / RJ",PARANÁ
ANA REZENDE,316.749.285-64,68,1955-10-15,"ESPLANADA DE DA CRUZ, 73
EYMARD
71825-419 NASCIMENTO / PE",RIO GRANDE DO NORTE
DR. THOMAS DIAS,267.984.310-03,45,1979-01-13,"JARDIM ANA CAROLINA DA MOTA, 6
VILA PETROPOLIS
53256-274 MOURA / AP",PARAÍBA
BRENO RIBEIRO,803.946.721-78,38,1985-10-05,"VEREDA DE COSTELA, 27
VILA DE SÁ
07317531 FREITAS / MG",MATO GROSSO
LUCAS GABRIEL NOVAES,856.074.129-11,41,1982-09-04,"TREVO MANUELA JESUS, 927
IPE
96781793 CARVALHO / SC",CEARÁ
VICENTE RODRIGUES,328.147.905-79,85,1938-12-18,"CHÁCARA CARDOSO, 14
VILA AEROPORTO
82122066 FOGAÇA / RN",RONDÔNIA
JOÃO LUCAS VIEIRA,985.724.301-05,38,1985-10-18,"PRAÇA DE OLIVEIRA, 35
CONJUNTO SANTA MARIA
00397-858 BARROS DOS DOURADOS / RN",MARANHÃO
DR. LUIZ HENRIQUE FREITAS,951.720.438-88,47,1976-11-07,"RESIDENCIAL LUIGI DUARTE, 6
MANACAS
80721305 ARAGÃO / SC",PARÁ
DRA. LUIZA DA CONCEIÇÃO,189.032.564-33,96,1927-04-29,"NÚCLEO DE FERREIRA, 77
LAGOA
66120668 FREITAS DO NORTE / PR",CEARÁ
BENJAMIN CAVALCANTI,317.024.958-41,26,1997-11-30,"ÁREA DE FERNANDES, 37
VILA SÃO DIMAS
93804-699 PEREIRA / MT",CEARÁ
MURILO MENDES,653.748.201-17,77,1946-04-20,"LOTEAMENTO PORTO, 4
VILA SANTO ANTÔNIO
40994-158 JESUS / SE",SERGIPE
DR. RENAN REZENDE,609.342.875-38,65,1958-12-16,"ÁREA DE RIBEIRO, 688
VILA VISTA ALEGRE
53424631 VIANA / PR",SANTA CATARINA
MAYSA PORTO,081.395.764-84,68,1955-09-11,"PÁTIO CARLOS EDUARDO AZEVEDO, 76
HAVAÍ
05920919 CARDOSO DO NORTE / RO",BAHIA
PEDRO LUCAS PEREIRA,873.421.560-35,84,1940-01-09,"QUADRA ALMEIDA, 83
PAQUETÁ
47111-767 FERREIRA / CE",SANTA CATARINA
ISADORA NOGUEIRA,480.321.579-05,50,1974-01-09,"FEIRA ALMEIDA, 72
VILA SÃO DIMAS
54779-178 NOGUEIRA DA MATA / RJ",RIO DE JANEIRO
GABRIEL RAMOS,591.874.320-05,76,1947-08-23,"VIADUTO DE FREITAS, 46
NOVO GLÓRIA
68461-422 DA MATA DO CAMPO / TO",MATO GROSSO
YAGO FERREIRA,531.842.796-00,87,1936-05-30,"LADEIRA AGATHA ALMEIDA, 27
VILA COPACABANA
72789380 SANTOS DE CARDOSO / RS",ACRE
SAMUEL DA MATA,521.740.968-11,21,2002-11-30,"RESIDENCIAL CAVALCANTI, 50
GROTA
42720-953 COSTELA / MG",PARANÁ
SOPHIE PINTO,317.480.529-50,94,1929-07-19,"COLÔNIA BRYAN COSTELA, 404
SUZANA
19834-441 ROCHA / SE",SANTA CATARINA
DR. RAFAEL SOUZA,436.750.218-07,45,1979-02-03,"RODOVIA DE MOREIRA, 6
SANTO AGOSTINHO
88797976 MELO DE RODRIGUES / AM",AMAZONAS
VITOR HUGO LIMA,450.326.187-80,85,1938-07-30,"ESPLANADA OLIVEIRA, 654
SERRA
05893442 BARROS GRANDE / PR",RORAIMA
DR. BERNARDO DA CRUZ,230.847.951-50,21,2003-03-03,"RODOVIA THOMAS SANTOS, 48
VILA SUZANA SEGUNDA SEÇÃO
76192-382 DA CRUZ / AM",BAHIA
CAIO DA CUNHA,926.084.357-00,93,1930-09-14,"VILA MILENA PORTO, 70
MARIETA 1ª SEÇÃO
21471136 VIANA DE MINAS / RO",PARAÍBA
STEPHANY DUARTE,642.183.975-46,97,1927-03-22,"LAGOA REBECA NOVAES, 77
SÃO JORGE 1ª SEÇÃO
99459-667 DA LUZ / SE",AMAZONAS
KEVIN DA CONCEIÇÃO,074.851.296-94,63,1960-04-18,"NÚCLEO SALES, 59
NOVO DAS INDUSTRIAS
25075979 DA MOTA / PE",ACRE
SRTA. GIOVANNA ARAGÃO,142.765.380-17,76,1947-07-08,"FEIRA SALES, 82
CORAÇÃO EUCARÍSTICO
14004-925 REZENDE / AL",PARAÍBA
PEDRO HENRIQUE PINTO,653.842.917-37,25,1998-09-20,"COLÔNIA DE AZEVEDO, 22
CENTRO
28232955 VIEIRA / CE",MATO GROSSO DO SUL
JOAQUIM DA CRUZ,532.784.910-41,30,1993-12-14,"ALAMEDA FERNANDES
SÃO SALVADOR
47528-909 VIEIRA DO NORTE / AM",RONDÔNIA
LEANDRO SOUZA,560.218.937-86,29,1994-10-09,"ESTRADA DE CASTRO, 671
TREVO
70826-740 ARAGÃO / PI",RIO GRANDE DO NORTE
BEATRIZ ARAGÃO,805.134.927-04,52,1971-07-29,"TRECHO CALEBE FERREIRA, 902
FUNCIONÁRIOS
75361-448 MENDES / AL",ACRE
CARLOS EDUARDO TEIXEIRA,546.310.289-98,48,1975-07-26,"CHÁCARA JOÃO GABRIEL CORREIA, 983
VILA BATIK
90033-732 SOUZA / ES",DISTRITO FEDERAL
JOANA DA ROCHA,915.302.864-33,46,1978-03-05,"LAGO MARIA CECÍLIA DIAS, 93
MARÇOLA
81757780 NOGUEIRA ALEGRE / MG",CEARÁ
LUCAS GABRIEL DA LUZ,203.564.197-70,18,2005-12-13,"VIA DE SANTOS
DELTA
16982254 DA ROSA / DF",RIO DE JANEIRO
DAVI LUCAS DA COSTA,502.416.973-52,18,2005-11-29,"VIELA MARIANA FERREIRA, 867
CIDADE JARDIM TAQUARIL
41562-571 ALMEIDA DA SERRA / AL",SÃO PAULO
HENRIQUE DA ROCHA,713.508.462-44,33,1990-09-08,"VIA CAIO CARVALHO, 11
INCONFIDÊNCIA
12395-579 SILVEIRA / AM",PARAÍBA
LORENA FERNANDES,574.913.680-93,92,1931-05-23,"RESIDENCIAL JOÃO GUILHERME CAMPOS
VILA PARAÍSO
64575-574 DA COSTA / PR",PARANÁ
NATHAN NOGUEIRA,837.624.059-56,44,1980-03-22,"VEREDA JESUS, 420
MONSENHOR MESSIAS
58414-188 CAMPOS / DF",AMAZONAS
SRTA. MAYSA REZENDE,726.351.894-55,81,1942-09-08,"SETOR DE DA MATA, 49
ZILAH SPOSITO
64777814 MORAES / PI",PARÁ
ERICK SANTOS,680.219.745-67,43,1980-06-22,"RUA LAVÍNIA DA ROSA, 9
PEDREIRA PADRO LOPES
34591588 MOREIRA DO OESTE / TO",RIO GRANDE DO SUL
AGATHA SALES,983.210.675-30,91,1932-09-01,"SETOR DE SANTOS, 49
ITATIAIA
61014707 VIEIRA DE FERREIRA / SP",BAHIA
ANA BEATRIZ MOREIRA,637.980.145-66,63,1960-11-19,"PARQUE THOMAS NOGUEIRA, 74
OUTRO
56064351 NOGUEIRA / AM",ALAGOAS
ANTÔNIO DA ROCHA,943.127.508-23,26,1998-02-28,"VIELA DE MENDES, 45
JARDIM LEBLON
96236-614 ALVES / AM",MARANHÃO
DRA. VITÓRIA VIANA,813.062.954-24,83,1941-03-23,"LOTEAMENTO BARBOSA, 28
VILA MADRE GERTRUDES 2ª SEÇÃO
30505246 VIANA DE BARBOSA / RO",MARANHÃO
ENZO MONTEIRO,534.021.978-04,43,1980-06-25,"TREVO BARROS, 87
CHÁCARA LEONINA
32250-516 CORREIA DO SUL / PR",MATO GROSSO
BERNARDO SANTOS,045.837.692-29,18,2005-09-09,"LAGOA ISABELLA VIANA, 20
ZILAH SPOSITO
57396-028 DA COSTA / PR",PARANÁ
GUILHERME CUNHA,237.961.508-02,25,1999-03-31,"FAZENDA REZENDE, 619
VILA DA PAZ
12171588 CUNHA / PI",RONDÔNIA
RAUL RODRIGUES,193.685.240-33,47,1976-06-16,"PRAÇA SOUZA
SANTA INÊS
51653-076 SALES / SC",MATO GROSSO DO SUL
PIETRA LIMA,591.384.076-39,31,1993-03-28,"PRAÇA ALMEIDA, 81
SÃO BENTO
89716066 CAVALCANTI / MT",PERNAMBUCO
CAMILA BARBOSA,560.871.293-59,37,1986-07-11,"VILA MARTINS, 7
CASA BRANCA
24755-263 REZENDE DO NORTE / PA",BAHIA
KAIQUE ALMEIDA,078.359.612-02,68,1955-09-27,"PASSARELA DE PIRES, 6
OLHOS D'ÁGUA
60019-193 NOGUEIRA / MS",ACRE
ANTÔNIO PORTO,015.283.479-60,87,1936-06-19,"AEROPORTO LAVÍNIA PORTO, 29
BARREIRO
62756-069 DA COSTA / RR",MINAS GERAIS
ALANA REZENDE,216.903.548-60,70,1953-05-23,"PARQUE DE ARAGÃO, 76
CACHOEIRINHA
02496-655 CASTRO DOS DOURADOS / ES",SANTA CATARINA
VITOR ALMEIDA,134.067.985-00,42,1981-08-06,"VALE RAMOS, 60
VILA SANTO ANTÔNIO
30951-261 CARDOSO / RR",RIO GRANDE DO NORTE
ISABELLY DA MOTA,709.435.816-48,75,1948-05-19,"LOTEAMENTO NASCIMENTO
ENGENHO NOGUEIRA
51363757 FREITAS DE MINAS / PA",AMAZONAS
ISIS OLIVEIRA,893.246.170-87,77,1946-09-28,"ESPLANADA JOÃO GUILHERME BARBOSA, 39
BARÃO HOMEM DE MELO 2ª SEÇÃO
27835-647 TEIXEIRA DE DA ROCHA / AL",PIAUÍ
CAROLINA GOMES,845.721.639-28,31,1992-05-29,"PARQUE NASCIMENTO
VILA MINASLANDIA
52552505 PIRES / AL",RIO GRANDE DO SUL
SRTA. NATÁLIA RODRIGUES,548.329.017-88,76,1948-03-04,"LARGO ALVES, 654
VERA CRUZ
86331-648 DA MATA DAS FLORES / MS",TOCANTINS
FERNANDO RAMOS,032.489.657-38,51,1973-01-05,"TREVO DE AZEVEDO, 36
VILA BARRAGEM SANTA LÚCIA
25527-534 NUNES DE MINAS / PR",RIO GRANDE DO NORTE
GABRIELA DA CRUZ,109.728.536-77,26,1997-06-11,"ÁREA DE BARROS, 4
VILA MANGUEIRAS
34927703 CAMPOS / CE",MARANHÃO
NOAH CAVALCANTI,273.901.485-60,83,1941-02-17,"SETOR ARTHUR BARROS, 58
VERA CRUZ
74085586 GONÇALVES / MT",PARANÁ
CLARA MOREIRA,079.215.348-05,50,1974-03-30,"LARGO GOMES, 85
VILA DA PAZ
12874488 ALMEIDA DAS PEDRAS / PB",RORAIMA
LAURA ARAÚJO,134.059.276-25,54,1970-03-16,"PRAIA AGATHA CARDOSO, 1
LAGOINHA
89331294 AZEVEDO / PI",PIAUÍ
DR. LUIZ OTÁVIO SALES,472.931.058-60,77,1946-07-10,"VIA NOVAES, 81
VILA SÃO PAULO
75725-378 VIANA / MT",MATO GROSSO
EMILLY DA MATA,839.264.057-83,88,1935-10-11,"PÁTIO CASTRO, 51
VILA TRINTA E UM DE MARÇO
55241883 NOVAES / ES",AMAPÁ
KEVIN RODRIGUES,086.491.732-50,53,1970-09-05,"CAMPO LIMA, 42
CONJUNTO CALIFÓRNIA II
56662-295 ARAGÃO ALEGRE / PE",RIO DE JANEIRO
DAVI PEREIRA,209.851.463-89,60,1963-09-23,"ESPLANADA RAFAEL VIANA, 38
APOLONIA
79597-756 JESUS / MG",MATO GROSSO
THOMAS SILVA,891.342.506-89,20,2004-03-06,"TRAVESSA BEATRIZ FOGAÇA, 47
FERNÃO DIAS
67632359 FERREIRA / RN",BAHIA
ANA LÍVIA DA CRUZ,135.694.780-84,85,1938-09-06,"PRAÇA CORREIA, 3
CANADÁ
10967-617 DA ROCHA / RJ",MARANHÃO
SR. VICENTE SILVEIRA,318.497.065-57,59,1964-11-06,"VIELA MARIA CECÍLIA VIANA, 44
VILA COPACABANA
57773029 TEIXEIRA GRANDE / PA",CEARÁ
SOPHIE CALDEIRA,403.216.857-17,36,1988-01-28,"VILA NINA MOURA, 41
VILA SANTO ANTÔNIO
90620403 CARDOSO GRANDE / PA",PIAUÍ
GABRIEL COSTA,930.751.624-34,59,1964-04-07,"NÚCLEO CARVALHO, 87
PIRAJA
27363-406 ARAGÃO / PI",MATO GROSSO DO SUL
ANA CAROLINA COSTA,680.432.175-80,50,1973-12-15,"RODOVIA DE DA LUZ, 710
SAUDADE
97753-283 ALMEIDA / RO",MATO GROSSO
MAITÊ FOGAÇA,543.981.076-57,26,1997-10-29,"RESIDENCIAL BEATRIZ LOPES
ERMELINDA
10264438 PINTO DO AMPARO / RN",RIO DE JANEIRO
BRUNA CALDEIRA,259.738.061-03,67,1956-05-14,"AEROPORTO DE FERREIRA, 9
SENHOR DOS PASSOS
60406901 PINTO / AC",AMAZONAS
CAROLINE MOURA,593.267.014-25,30,1993-04-27,"CHÁCARA DA LUZ, 27
BONFIM
19292291 FREITAS / SP",PARAÍBA
SRA. ANA JÚLIA PIRES,561.839.420-06,46,1977-06-19,"NÚCLEO CARDOSO
BARREIRO
53334004 DA MATA / TO",BAHIA
DRA. LARISSA FERNANDES,503.491.862-51,43,1981-02-21,"RESIDENCIAL DE RIBEIRO, 11
VILA SANTA ROSA
31387-267 RAMOS DO GALHO / GO",BAHIA
RODRIGO DA LUZ,416.279.350-61,32,1992-02-03,"AEROPORTO DE CAMPOS, 63
SÃO GABRIEL
23280-868 CALDEIRA DE COSTA / PB",PARÁ
CARLOS EDUARDO BARROS,730.926.451-70,31,1992-05-25,"LOTEAMENTO DE RODRIGUES
SANTA CECILIA
06586958 SALES / GO",SERGIPE
ANA LAURA SILVA,047.183.956-66,51,1972-06-20,"VALE PINTO, 70
ESPLANADA
62764-552 AZEVEDO / PI",RONDÔNIA
MAITÊ NOGUEIRA,517.209.346-06,65,1958-10-01,"VALE COSTELA, 5
PARQUE SÃO JOSÉ
96135-251 DA COSTA / SP",GOIÁS
ANA LAURA DA LUZ,681.534.027-90,80,1943-09-26,"JARDIM DE BARROS, 111
CAIÇARA - ADELAIDE
35595-078 ROCHA / TO",GOIÁS
SRA. BRENDA VIANA,154.768.092-01,75,1948-10-12,"PÁTIO DA ROCHA, 793
VILA RICA
94599043 PEREIRA DO AMPARO / ES",ALAGOAS
AUGUSTO TEIXEIRA,360.458.927-47,93,1930-05-17,"SETOR SAMUEL PORTO, 99
BAIRRO DAS INDÚSTRIAS II
86695-066 DA ROCHA / AM",RIO DE JANEIRO
DR. FRANCISCO LIMA,318.062.495-70,65,1959-02-01,"VIA DIEGO LIMA, 60
DISTRITO INDUSTRIAL DO JATOBA
23453-385 REZENDE DA PRAIA / AP",RORAIMA
ISAAC DA LUZ,293.547.680-83,74,1949-09-12,"ÁREA JOÃO LUCAS LIMA, 997
SÃO BENEDITO
29475280 CORREIA DO OESTE / RO",PERNAMBUCO
CALEBE JESUS,068.549.237-00,46,1978-02-15,"PRAIA VITOR GABRIEL CUNHA, 89
CONCÓRDIA
76769-266 BARROS DE ALMEIDA / SC",PARÁ
KEVIN MELO,786.423.910-22,57,1966-11-05,"VIADUTO JULIANA NOGUEIRA
TREVO
27312378 COSTELA / BA",BAHIA
PEDRO MIGUEL PEIXOTO,079.865.213-68,49,1975-03-26,"PASSARELA MOURA, 85
VILA RICA
97660-932 PINTO / DF",SERGIPE
GABRIELLY ALMEIDA,498.065.732-00,29,1994-06-21,"CONDOMÍNIO DE SALES, 62
SÃO BERNARDO
26536-770 DA PAZ DE FARIAS / PB",SERGIPE
MURILO CORREIA,197.630.548-93,33,1990-11-29,"ESTAÇÃO DE RIBEIRO, 893
ZILAH SPOSITO
70649126 DA LUZ / SP",BAHIA
MATHEUS DIAS,156.274.038-53,81,1942-12-02,Desconhecido,RIO DE JANEIRO
STELLA CARDOSO,798.061.543-39,55,1968-08-14,"ESTRADA ANA RAMOS, 10
NOVO TUPI
28462177 NASCIMENTO / GO",PARANÁ
MARCELA BARBOSA,509.861.437-66,61,1963-03-04,"ESTAÇÃO DE AZEVEDO, 639
VILA ANTENA MONTANHÊS
95402652 SOUZA / MS",SANTA CATARINA
ANA CAROLINA PIRES,612.803.495-06,87,1936-04-16,"VIADUTO EDUARDA PINTO, 76
POUSADA SANTO ANTONIO
59415989 DA MOTA / RS",GOIÁS
HELENA ARAGÃO,791.852.043-23,84,1940-02-19,"MORRO LAVÍNIA ALMEIDA
ESPERANÇA
86630-979 DA MOTA DA PRAIA / AP",ALAGOAS
JOÃO GABRIEL OLIVEIRA,496.325.817-09,96,1927-11-21,"TRAVESSA OLIVEIRA, 28
MINAS BRASIL
46483592 CARDOSO DE PIRES / MA",PARÁ
MARIA CECÍLIA VIEIRA,491.372.586-64,87,1936-05-14,"CONJUNTO DE SOUZA, 842
PETROPOLIS
42034714 DA CRUZ DE DUARTE / TO",PARANÁ
LORENA RODRIGUES,461.372.508-90,45,1978-12-27,"QUADRA DE FOGAÇA, 57
VILA NOVA GAMELEIRA 3ª SEÇÃO
66845-310 AZEVEDO / PE",AMAZONAS
NICOLAS CUNHA,873.420.651-53,69,1954-09-01,"ESTRADA DE CARVALHO, 52
CONJUNTO JARDIM FILADÉLFIA
52805087 DA ROCHA GRANDE / GO",ALAGOAS
VITOR HUGO RAMOS,485.102.396-06,29,1994-08-07,"TRAVESSA MELO, 5
BIQUINHAS
66489954 FARIAS / ES",MATO GROSSO
LUIGI ARAGÃO,704.296.385-74,40,1984-02-28,"LARGO DE RODRIGUES, 19
CAMPO ALEGRE
45308605 OLIVEIRA / DF",MATO GROSSO DO SUL
MARIA JULIA BARROS,123.807.596-77,49,1974-06-14,"ÁREA NOGUEIRA
SOLIMOES
33583-693 FOGAÇA DE MINAS / PE",PIAUÍ
LUIZ GUSTAVO SILVEIRA,178.924.630-03,93,1931-02-16,"ESTAÇÃO MENDES
COLÉGIO BATISTA
63789-623 MENDES / PR",CEARÁ
ANA JÚLIA FERNANDES,795.408.612-76,96,1927-05-16,"PASSARELA DE CARVALHO, 69
CORAÇÃO DE JESUS
30963-058 JESUS DE GONÇALVES / SE",ACRE
LUIZ MIGUEL NOVAES,754.892.163-28,26,1998-01-24,"MORRO DE NASCIMENTO, 17
COQUEIROS
45908-211 CARVALHO / MG",MARANHÃO
GABRIEL SANTOS,142.680.957-30,21,2003-03-24,"LARGO VIANA, 3
VILA FUMEC
88329854 DUARTE GRANDE / PE",ACRE
SRTA. SOPHIE VIEIRA,624.017.385-17,71,1952-04-06,"LOTEAMENTO DE VIANA, 65
CONJUNTO NOVO DOM BOSCO
74866-542 GOMES / PI",PARAÍBA
JÚLIA CARDOSO,482.615.097-02,88,1935-07-24,"FEIRA GUSTAVO NASCIMENTO, 911
VILA CALAFATE
13255-925 DIAS DA SERRA / RS",ESPÍRITO SANTO
DRA. GABRIELA JESUS,846.072.319-40,49,1975-03-04,"VEREDA CUNHA
JARDIM DO VALE
23769849 PEIXOTO / ES",RIO GRANDE DO SUL
DR. JOÃO GABRIEL CORREIA,038.254.716-08,48,1975-05-27,"AEROPORTO AUGUSTO DAS NEVES, 847
MARIA HELENA
14413023 SALES DO SUL / TO",MINAS GERAIS
LUIZ GUSTAVO JESUS,625.914.807-02,98,1925-04-09,"FEIRA FOGAÇA, 914
VILA DOS ANJOS
04874-947 GONÇALVES / PI",ESPÍRITO SANTO
RODRIGO FERREIRA,527.019.648-49,55,1969-02-27,"ESTAÇÃO MORAES, 13
CARMO
16880467 SALES / MG",DISTRITO FEDERAL
ALÍCIA RIBEIRO,514.928.607-94,91,1932-04-28,"FEIRA MARIA JULIA COSTELA, 21
MARIANO DE ABREU
15900292 VIANA / MG",TOCANTINS
SR. ANDRÉ DA MATA,169.238.045-15,66,1957-12-07,"LOTEAMENTO DE LIMA, 16
CONJUNTO PROVIDENCIA
30306-177 VIEIRA / SE",RIO DE JANEIRO
SRTA. MARIA JULIA CAMPOS,245.317.869-55,64,1960-02-06,"RODOVIA PIRES, 57
VILA DE SÁ
77231854 DAS NEVES DE MINAS / SP",BAHIA
JOÃO GABRIEL FERREIRA,018.962.437-03,94,1929-07-20,"PÁTIO CARVALHO
VILA PRIMEIRO DE MAIO
20761463 CARDOSO / AP",MARANHÃO
THOMAS MORAES,291.743.085-05,60,1964-02-09,"PARQUE MELO, 462
VILA CLORIS
72257447 ALVES PAULISTA / GO",PERNAMBUCO
CLARA MELO,860.547.139-57,62,1962-02-15,"ALAMEDA VITOR GABRIEL LOPES, 52
PEDREIRA PADRO LOPES
39505-792 FREITAS / MS",AMAZONAS
LUIGI CAVALCANTI,078.159.423-50,33,1990-07-07,"CAMPO DE CAMPOS, 83
VILA TIROL
47518-448 MOURA / RN",RIO GRANDE DO SUL
DRA. STELLA DA COSTA,340.968.215-51,53,1970-10-31,"PASSARELA OLIVEIRA, 48
SANTA MONICA
65901774 BARBOSA / RO",SANTA CATARINA
ISABELLA DA PAZ,289.547.630-65,80,1943-12-31,"VIA LETÍCIA NUNES, 280
MONSENHOR MESSIAS
23682-395 PORTO DO CAMPO / AL",MARANHÃO
ENZO DA ROCHA,874.126.390-13,43,1980-12-28,"TRAVESSA RIBEIRO, 92
PINDORAMA
41498-699 COSTA / GO",SERGIPE
OLIVIA FERNANDES,016.793.584-48,50,1973-12-09,"CONJUNTO EDUARDO DA PAZ, 2
DOM JOAQUIM
57205-706 DA ROSA / AP",PARÁ
ANDRÉ DA MATA,648.073.251-08,37,1986-11-05,"FEIRA CLARA LIMA, 5
VILA INDEPENDENCIA 3ª SEÇÃO
97223-857 SALES ALEGRE / MA",PERNAMBUCO
PEDRO HENRIQUE CAVALCANTI,938.026.157-86,78,1946-02-09,"NÚCLEO DE ROCHA, 9
SPORT CLUB
85502-689 DIAS / SP",PARAÍBA
JOAQUIM SILVEIRA,671.038.925-12,20,2003-07-18,"VILA DE FREITAS, 80
SANTO ANTÔNIO
64429-208 SOUZA / AC",CEARÁ
MIRELLA RODRIGUES,216.854.907-94,46,1977-12-11,"FAZENDA DE LIMA, 95
VILA DAS OLIVEIRAS
24075-695 SANTOS / RJ",ESPÍRITO SANTO
SRA. ISABELLY AZEVEDO,087.521.496-76,74,1949-11-23,"LADEIRA CALDEIRA, 5
VILA PARIS
30774-845 DAS NEVES DO GALHO / AC",MATO GROSSO
DR. SAMUEL FERREIRA,720.936.841-87,35,1989-02-02,"TRAVESSA ANA LÍVIA DA MATA, 63
MADRI
52820362 CORREIA / ES",RIO DE JANEIRO
OTÁVIO CARVALHO,643.820.751-90,87,1936-07-09,"RESIDENCIAL COSTA, 9
CIDADE JARDIM TAQUARIL
93834094 CUNHA PAULISTA / SE",DISTRITO FEDERAL
DRA. STEPHANY DA MOTA,154.628.930-51,25,1999-03-16,"COLÔNIA MONTEIRO, 49
EUROPA
08852-447 SOUZA / MT",SÃO PAULO
CAUÊ MENDES,152.704.683-44,30,1993-12-15,"LAGOA DAS NEVES, 36
MARÇOLA
29562-910 MARTINS DO GALHO / BA",ACRE
ALEXANDRE NUNES,496.028.513-33,51,1972-07-03,"ESPLANADA SOUZA, 437
ÁLVARO CAMARGOS
13558-006 COSTA / MG",RIO GRANDE DO SUL
MARIA FERNANDA ARAGÃO,372.810.465-53,67,1956-05-24,"FAVELA DE CARVALHO, 28
CONFISCO
78293-561 PORTO / RS",ALAGOAS
JOÃO GUILHERME SILVA,820.673.951-30,73,1951-03-20,"PRAÇA CAROLINE ALMEIDA, 19
CONJUNTO BONSUCESSO
43369846 CARVALHO / DF",RONDÔNIA
LORENA REZENDE,753.801.692-95,73,1951-03-25,"LAGOA DE FOGAÇA, 92
PANTANAL
50346-679 FOGAÇA DAS PEDRAS / MG",RONDÔNIA
MARIA SOPHIA DA CRUZ,690.235.147-34,68,1955-05-27,"VALE ANA JULIA PORTO, 19
ALTO BARROCA
44810-914 ARAGÃO / MG",ESPÍRITO SANTO
